Job Title,Company Name,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link,Disponibilité,Langues,Salary,Mobility
Software Engineer,Yang-Pugh,Bac+3,Débutant < 2 ans et plus,Temps partiel,Sousse,"SQL, Data Analysis, Java, Communication, Project Management",2026-01-16,https://fakejobsite.com/job/25,In 3 months,English,895,On-site
Marketing Manager,Bender-Frazier,Bac+5,Expérience entre 2 ans et 5 ans et plus,Alternance,DAKAR,"Python, SQL",2026-02-12,https://fakejobsite.com/job/26,Immediate,"French, Arabic, English",1606,On-site
Accountant,Villa-Tucker,Bac+2,"Etudiant, jeune diplômé",SIVP,Kairouan,"Data Analysis, Communication",2024-12-25,https://fakejobsite.com/job/27,In 1 month,"English, Arabic",1436,Remote
Project Manager,Cox-Mcclure,Bac+3,Entre 1 et 2 ans,Stage-PFE,Le Kef,"SQL, Machine Learning, Python",2025-11-14,https://fakejobsite.com/job/28,Immediate,"Arabic, English, French",863,Hybrid
Data Scientist,Williams-Morgan,Bac+4,Expérience entre 2 ans et 5 ans et plus,CDD,Médenine,"SQL, Machine Learning, Project Management, Leadership, Data Analysis",2026-04-27,https://fakejobsite.com/job/29,Immediate,"Arabic, English, French",1752,On-site
Accountant,Anderson-Lane,Bac,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,SIVP,Monastir,"Java, Communication",2026-01-28,https://fakejobsite.com/job/30,In 1 month,"French, Arabic",1263,Remote
Marketing Manager,Carter LLC,Bac+4,"Etudiant, jeune diplômé",Temps partiel,TRIPOLI,"Communication, Python, Data Analysis, Project Management",2026-02-13,https://fakejobsite.com/job/31,Immediate,"French, Arabic",1494,On-site
Data Scientist,"Parker, Gilbert and Johnson",Bac+2,Expérience > 10 ans,Indépendant-Freelance,Gabes,"Leadership, Python, Communication",2026-02-02,https://fakejobsite.com/job/32,In 1 month,"Arabic, English, French",2200,Remote
Marketing Manager,"Mclaughlin, Hensley and Wood",Bac,Entre 2 et 5 ans,Stage-PFE,Kairouan,"Data Analysis, Machine Learning, Python, Leadership",2024-05-03,https://fakejobsite.com/job/33,In 1 month,"French, English",1410,Remote
Project Manager,Ramirez PLC,Autres,"Etudiant, jeune diplômé & Débutant < 2 ans",Fonction publique,Tataouine,"Data Analysis, Leadership, Java",2024-09-15,https://fakejobsite.com/job/34,In 1 month,"English, Arabic",965,Hybrid
Marketing Manager,Davis PLC,Autres,"Etudiant, jeune diplômé",Indépendant-Freelance,Sfax,"Communication, Project Management",2025-05-24,https://fakejobsite.com/job/35,Immediate,"English, Arabic",1404,On-site
Software Engineer,Carter-Acosta,Bac+5,Expérience entre 5 ans et 10 ans,SIVP,Sidi Bouzid,"Java, Data Analysis",2025-12-31,https://fakejobsite.com/job/36,In 1 month,"French, Arabic, English",2269,Hybrid
Nurse,Welch-Harris,Bac+3,Plus que 10 ans,Alternance,DAKAR,"Project Management, Python, Java, Machine Learning",2026-03-14,https://fakejobsite.com/job/37,Immediate,"French, Arabic",1509,On-site
Accountant,Anderson and Sons,Bac+1,Expérience entre 2 ans et 5 ans,Alternance,Bizerte,"Java, Communication",2024-08-18,https://fakejobsite.com/job/38,In 1 month,"Arabic, French",1763,Hybrid
Nurse,Boyd LLC,Bac+5,Débutant < 2 ans,Fonction publique,Ben Arous,"Java, SQL, Machine Learning, Leadership, Communication",2024-12-23,https://fakejobsite.com/job/39,In 1 month,"French, Arabic, English",860,On-site
Marketing Manager,"Franklin, Day and Bowman",Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Ariana,"Data Analysis, Leadership, Machine Learning, Communication, Project Management",2024-06-11,https://fakejobsite.com/job/40,In 3 months,"Arabic, English, French",1428,Hybrid
Project Manager,"Hamilton, Blake and Murphy",Bac+2,"Etudiant, jeune diplômé",Unspecified,Gafsa,"Project Management, Communication, Data Analysis",2024-11-21,https://fakejobsite.com/job/41,In 3 months,Arabic,1054,Remote
Accountant,"Massey, Fischer and Harris",Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Stage,Tataouine,"Communication, Project Management, Machine Learning, SQL, Python",2024-01-11,https://fakejobsite.com/job/42,In 3 months,"Arabic, English",1123,On-site
Marketing Manager,Harris-Tapia,Bac,Expérience entre 5 ans et 10 ans,Temps partiel,Sousse,"Project Management, Python, Data Analysis",2024-01-05,https://fakejobsite.com/job/43,Immediate,"French, English, Arabic",1782,On-site
Data Scientist,Stark-Singh,Formations professionnelles,Expérience entre 2 ans et 5 ans,CDD,Abidjan,"Project Management, Machine Learning",2025-02-08,https://fakejobsite.com/job/44,Immediate,Arabic,1346,Remote
Teacher,Baker LLC,Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Temps partiel,Le Kef,"Python, Leadership, Communication",2026-04-21,https://fakejobsite.com/job/45,In 1 month,"English, French, Arabic",1628,Hybrid
Marketing Manager,"Mejia, Kaiser and Jones",Bac+4,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI,Tataouine,"Project Management, Python",2025-09-07,https://fakejobsite.com/job/46,In 1 month,"Arabic, French, English",750,On-site
Nurse,"Howard, Walsh and Porter",Bac+3,"Etudiant, jeune diplômé et plus",Statutaire,DAKAR,"Communication, Python",2025-04-24,https://fakejobsite.com/job/47,In 1 month,"Arabic, French",736,On-site
Accountant,Hernandez Ltd,Bac+3,Expérience entre 2 ans et 5 ans,Statutaire,DAKAR,"Machine Learning, Communication, Project Management",2025-02-12,https://fakejobsite.com/job/48,In 1 month,"French, Arabic, English",814,Hybrid
Nurse,Williams Inc,Bac+3,Expérience entre 2 ans et 5 ans et plus,Statutaire,Abidjan,"Data Analysis, Communication, Machine Learning",2024-12-02,https://fakejobsite.com/job/49,Immediate,"French, Arabic",1504,Remote
Accountant,Anderson-Jackson,Bac+2,Expérience > 10 ans,Alternance,TRIPOLI,"Project Management, SQL, Leadership, Communication, Java",2025-02-14,https://fakejobsite.com/job/50,In 1 month,"Arabic, French, English",1359,Hybrid
Marketing Manager,Davis-Figueroa,Autres,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Alternance,Le Kef,"Java, Communication",2024-07-12,https://fakejobsite.com/job/51,In 1 month,"French, Arabic",1133,Hybrid
Software Engineer,Mckay and Sons,Bac+5,"Etudiant, jeune diplômé et plus",Intérim,Ben Arous,"Communication, Project Management, SQL, Leadership, Python",2025-07-23,https://fakejobsite.com/job/52,In 3 months,"French, Arabic",1392,Hybrid
Data Scientist,Powell and Sons,Autres,Débutant < 2 ans,Indépendant-Freelance,Tunis,"Python, Project Management",2024-05-18,https://fakejobsite.com/job/53,In 1 month,"English, French",843,On-site
Marketing Manager,Schaefer-Dunn,Formations professionnelles,Expérience > 10 ans,SIVP,Siliana,"Java, Leadership, SQL, Communication",2025-02-03,https://fakejobsite.com/job/54,In 1 month,Arabic,1969,Remote
Nurse,Bell-Roberts,Bac+4,"Etudiant, jeune diplômé",CDD,Kairouan,"Data Analysis, Project Management, Java, Leadership, SQL",2026-04-16,https://fakejobsite.com/job/55,In 1 month,Arabic,1174,Remote
Teacher,"Smith, Garza and Sullivan",Formations professionnelles,Expérience entre 2 ans et 5 ans,Fonction publique,Tozeur,"Java, Project Management, Machine Learning",2024-02-22,https://fakejobsite.com/job/56,Immediate,"English, Arabic",1248,Hybrid
Teacher,Sanders-Kelly,Bac+1,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,SIVP,Médenine,"Python, Communication",2025-06-15,https://fakejobsite.com/job/57,In 3 months,"French, Arabic",1158,On-site
Project Manager,"Kelly, Edwards and Anderson",Bac+2,Entre 2 et 5 ans,Temps partiel,Bizerte,"Java, SQL",2026-03-29,https://fakejobsite.com/job/58,In 1 month,"English, French, Arabic",1344,Hybrid
Accountant,"Mendez, Johnson and Powers",Bac,Débutant < 2 ans et plus,Intérim,Kairouan,"Data Analysis, Project Management, SQL",2025-07-15,https://fakejobsite.com/job/59,In 1 month,"English, French, Arabic",903,On-site
Nurse,Barrett Ltd,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Alternance,Siliana,"Project Management, SQL, Leadership, Python, Java",2024-07-28,https://fakejobsite.com/job/60,In 3 months,"English, Arabic, French",1450,On-site
Project Manager,Wright PLC,Bac+3,"Etudiant, jeune diplômé - Débutant < 2 ans",Fonction publique,Nabeul,"Python, Project Management, Data Analysis, SQL, Communication",2025-01-14,https://fakejobsite.com/job/61,In 1 month,"English, Arabic, French",1608,On-site
Nurse,"Wilson, Ashley and Walker",Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Alternance,Tunis,"Leadership, Java, SQL, Data Analysis, Communication",2026-01-26,https://fakejobsite.com/job/62,Immediate,"English, Arabic, French",981,On-site
Accountant,Case-Wagner,Bac+5,Débutant < 2 ans,Unspecified,Bizerte,"Python, Communication",2026-05-10,https://fakejobsite.com/job/63,In 1 month,"English, French",1277,Remote
Marketing Manager,Crawford PLC,Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDD,Gafsa,"Python, Leadership, Machine Learning, Project Management",2024-03-31,https://fakejobsite.com/job/64,Immediate,"French, English, Arabic",1126,On-site
Marketing Manager,Manning Ltd,Bac+3,Entre 1 et 2 ans,Indépendant-Freelance,Bizerte,"Python, Machine Learning, Leadership",2026-01-05,https://fakejobsite.com/job/65,Immediate,French,1472,On-site
Teacher,James and Sons,Bac+3,Expérience entre 2 ans et 5 ans et plus,SIVP,Sidi Bouzid,"Java, Machine Learning, Python",2025-05-20,https://fakejobsite.com/job/66,In 1 month,"Arabic, English, French",875,Hybrid
Marketing Manager,"Murillo, Porter and Sandoval",Bac+2,"Etudiant, jeune diplômé - Débutant < 2 ans",SIVP,Tunis,"SQL, Python, Machine Learning",2024-10-27,https://fakejobsite.com/job/67,In 3 months,French,1808,Hybrid
Marketing Manager,Brown Group,Bac+5,Expérience entre 2 ans et 5 ans et plus,Statutaire,Abidjan,"Python, Machine Learning, Leadership",2025-01-31,https://fakejobsite.com/job/68,Immediate,English,907,Remote
Software Engineer,"Ray, Moore and Gould",Bac+1,Débutant < 2 ans,CDI,Le Kef,"Communication, Data Analysis, Java, SQL, Leadership",2025-11-01,https://fakejobsite.com/job/69,In 3 months,"Arabic, French, English",831,Hybrid
Teacher,Garcia PLC,Autres,Débutant < 2 ans et plus,Statutaire,Zaghouan,"SQL, Java, Communication, Data Analysis",2025-02-06,https://fakejobsite.com/job/70,In 1 month,"English, French",1208,On-site
Project Manager,"Flowers, Hayes and Murray",Bac+5,"Etudiant, jeune diplômé - Débutant < 2 ans",Unspecified,DAKAR,"Communication, SQL, Python, Leadership, Project Management",2025-06-26,https://fakejobsite.com/job/71,Immediate,"Arabic, English",1206,Hybrid
Data Scientist,"Wells, Hill and Santiago",Bac+2,Débutant < 2 ans et plus,Fonction publique,Sidi Bouzid,"Java, Machine Learning",2024-09-18,https://fakejobsite.com/job/72,In 1 month,"French, Arabic",889,Remote
Software Engineer,Blankenship and Sons,Bac,Débutant < 2 ans,Stage,Bizerte,"Machine Learning, Java, Data Analysis",2024-10-02,https://fakejobsite.com/job/73,In 3 months,"English, French, Arabic",1019,Hybrid
Project Manager,"Stokes, Adams and Greene",Bac+5,Entre 2 et 5 ans,Statutaire,Sfax,"Project Management, Data Analysis",2025-04-16,https://fakejobsite.com/job/74,In 1 month,French,1455,Hybrid
Accountant,"Ayala, Anthony and Williams",Bac+5,Expérience entre 2 ans et 5 ans et plus,Intérim,International,"Data Analysis, Project Management, Machine Learning, Leadership",2026-05-05,https://fakejobsite.com/job/75,In 1 month,"Arabic, French, English",1431,Remote
Software Engineer,"Kelley, Ruiz and Gray",Bac+5,Débutant < 2 ans et plus,Statutaire,Ariana,"Machine Learning, Communication",2026-03-12,https://fakejobsite.com/job/76,Immediate,"Arabic, French, English",1709,Remote
Project Manager,"Holt, Jacobs and Jackson",Bac+5,Entre 5 et 10 ans,Statutaire,Gabes,"Data Analysis, Leadership",2025-09-09,https://fakejobsite.com/job/77,In 1 month,French,1301,On-site
Accountant,Leach-Conley,Bac+1,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Stage,Tunis,"Java, Communication",2025-10-30,https://fakejobsite.com/job/78,In 1 month,"French, English",1415,Hybrid
Teacher,Mcgee LLC,Bac+3,"Etudiant, jeune diplômé - Débutant < 2 ans",CDI,Gafsa,"Machine Learning, Data Analysis, Leadership",2024-10-30,https://fakejobsite.com/job/79,In 1 month,"Arabic, French, English",1070,On-site
Data Scientist,"Smith, Stevens and Hoffman",Bac+2,Expérience entre 2 ans et 5 ans,CDD,TRIPOLI,"Communication, Java, Leadership",2024-03-17,https://fakejobsite.com/job/80,Immediate,French,1065,Hybrid
Accountant,"Perry, Green and Archer",Qualification avant bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Intérim,Sidi Bouzid,"Leadership, Data Analysis, Python, Communication",2026-06-26,https://fakejobsite.com/job/81,In 3 months,"Arabic, English",1028,Hybrid
Marketing Manager,"Jones, Chapman and Jenkins",Bac+4,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Statutaire,Ariana,"Machine Learning, Python, SQL, Data Analysis, Java",2024-08-10,https://fakejobsite.com/job/82,In 3 months,"French, Arabic",1072,On-site
Nurse,"French, Jackson and Woods",Bac+3,Aucune expérience,Unspecified,International,"Data Analysis, Communication, Project Management, Machine Learning",2026-06-01,https://fakejobsite.com/job/83,In 1 month,"Arabic, French",869,Hybrid
Accountant,Dudley-Salinas,Bac,Moins d'un an,Indépendant-Freelance,Tataouine,"Python, Leadership, SQL, Java, Communication",2024-02-09,https://fakejobsite.com/job/84,Immediate,"French, English, Arabic",1314,Hybrid
Accountant,Anderson Group,Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage,Gafsa,"Data Analysis, Project Management, Java, Python",2025-12-21,https://fakejobsite.com/job/85,In 1 month,"Arabic, English, French",1140,Hybrid
Data Scientist,"Vega, Smith and Stevenson",Bac+3,Moins d'un an,Indépendant-Freelance,Tataouine,"Communication, SQL, Python, Data Analysis",2025-07-26,https://fakejobsite.com/job/86,In 3 months,"Arabic, French, English",924,Remote
Nurse,Lester-Munoz,Bac+5,"Etudiant, jeune diplômé - Débutant < 2 ans",Stage,DAKAR,"Project Management, Communication, Python",2025-08-08,https://fakejobsite.com/job/87,Immediate,"English, French",1439,On-site
Marketing Manager,Donovan Group,Bac+4,Entre 2 et 5 ans,Unspecified,Sidi Bouzid,"SQL, Machine Learning, Communication, Java",2026-06-09,https://fakejobsite.com/job/88,In 3 months,French,1238,Remote
Project Manager,Smith Ltd,Formations professionnelles,Moins d'un an,Indépendant-Freelance,TRIPOLI,"Data Analysis, SQL, Java",2026-03-22,https://fakejobsite.com/job/89,In 3 months,Arabic,803,On-site
Project Manager,"Miller, Mueller and Bullock",Bac+3,"Etudiant, jeune diplômé - Débutant < 2 ans",Stage,Abidjan,"Python, Java, Communication, Data Analysis, Project Management",2026-04-04,https://fakejobsite.com/job/90,Immediate,"Arabic, English, French",1127,On-site
Accountant,"White, Fletcher and Zavala",Bac+2,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Temps partiel,Monastir,"Machine Learning, Java, Communication",2025-08-07,https://fakejobsite.com/job/91,Immediate,"French, Arabic, English",1015,Hybrid
Nurse,Kennedy LLC,Bac+5,Entre 5 et 10 ans,Indépendant-Freelance,Zaghouan,"SQL, Leadership",2026-02-22,https://fakejobsite.com/job/92,In 1 month,"Arabic, French, English",1374,On-site
Nurse,Henson-Lowe,Bac+5,Expérience entre 2 ans et 5 ans et plus,CDI,Ben Arous,"Leadership, Java",2026-03-08,https://fakejobsite.com/job/93,In 1 month,English,1665,Remote
Marketing Manager,Myers Group,Bac+3,Moins d'un an,Stage-PFE,Monastir,"Leadership, Data Analysis, SQL",2026-08-19,https://fakejobsite.com/job/94,In 3 months,"French, Arabic, English",1247,Remote
Data Scientist,Romero-Alvarado,Bac+5,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Intérim,Siliana,"Project Management, Python, Communication",2026-07-26,https://fakejobsite.com/job/95,Immediate,"English, Arabic, French",1829,Remote
Teacher,Wood-Hodges,Bac+3,Plus que 10 ans,Fonction publique,Sfax,"SQL, Data Analysis, Leadership",2024-07-31,https://fakejobsite.com/job/96,Immediate,"Arabic, English, French",1206,On-site
Project Manager,"Simon, Riggs and Roberts",Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDD,Nabeul,"Machine Learning, Data Analysis",2024-01-30,https://fakejobsite.com/job/97,In 1 month,"English, Arabic",1698,Remote
Data Scientist,Vasquez-Rodriguez,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Temps partiel,Bizerte,"Communication, Python, SQL, Data Analysis, Java",2026-05-29,https://fakejobsite.com/job/98,In 3 months,"Arabic, French, English",1137,On-site
Software Engineer,Estrada and Sons,Bac,Entre 5 et 10 ans,Saisonnier,Zaghouan,"Python, Leadership, Machine Learning, Project Management",2025-10-06,https://fakejobsite.com/job/99,In 3 months,English,952,Remote
Project Manager,Chambers-Reyes,Bac+1,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Alternance,Bizerte,"Communication, Project Management, Machine Learning, Leadership",2025-08-12,https://fakejobsite.com/job/100,In 1 month,"French, Arabic",1298,Remote
Data Scientist,"Cole, Schwartz and Sanchez",Bac,"Etudiant, jeune diplômé - Débutant < 2 ans",Unspecified,Abidjan,"SQL, Machine Learning",2024-08-14,https://fakejobsite.com/job/101,Immediate,"Arabic, English",1513,On-site
Project Manager,Kim-Kelley,Bac+4,"Etudiant, jeune diplômé et plus",Unspecified,TRIPOLI,"Machine Learning, Python, Communication",2025-07-29,https://fakejobsite.com/job/102,In 1 month,"French, Arabic",830,Remote
Teacher,Nixon Group,Bac+3,Entre 5 et 10 ans,Statutaire,Zaghouan,"Python, Machine Learning, SQL, Java, Data Analysis",2026-04-28,https://fakejobsite.com/job/103,In 1 month,"Arabic, French, English",1155,Hybrid
Software Engineer,Kline LLC,Bac+3,Débutant < 2 ans,Fonction publique,Siliana,"Java, Communication, Data Analysis, Machine Learning, SQL",2025-05-04,https://fakejobsite.com/job/104,In 1 month,"French, English, Arabic",833,On-site
Teacher,"Sparks, Perez and Rice",Formations professionnelles,Entre 1 et 2 ans,Alternance,Siliana,"Machine Learning, Leadership",2026-07-10,https://fakejobsite.com/job/105,In 1 month,"English, Arabic, French",1135,On-site
Marketing Manager,"Potter, Phillips and Hansen",Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Unspecified,Kairouan,"SQL, Data Analysis, Project Management, Leadership",2024-03-24,https://fakejobsite.com/job/106,Immediate,French,1212,On-site
Software Engineer,Baxter-Howard,Bac+3,"Etudiant, jeune diplômé",Intérim,Ariana,"Project Management, Leadership, Communication",2024-12-11,https://fakejobsite.com/job/107,In 1 month,"Arabic, English",1579,Hybrid
Accountant,"Peterson, Jones and Wells",Bac+5,"Etudiant, jeune diplômé et plus",Fonction publique,Sousse,"Data Analysis, Machine Learning, SQL, Leadership, Project Management",2025-02-24,https://fakejobsite.com/job/108,Immediate,"Arabic, English",1394,On-site
Data Scientist,"Humphrey, Obrien and Nelson",Bac+3,Moins d'un an,Indépendant-Freelance,Monastir,"Machine Learning, Data Analysis",2024-02-02,https://fakejobsite.com/job/109,In 1 month,"English, Arabic, French",1588,Remote
Software Engineer,Deleon-Francis,Bac+1,"Etudiant, jeune diplômé - Débutant < 2 ans",Indépendant-Freelance,Sfax,"SQL, Leadership, Machine Learning",2026-07-09,https://fakejobsite.com/job/110,In 3 months,English,1021,Remote
Marketing Manager,Harmon Group,Bac+3,Débutant < 2 ans,Saisonnier,Sousse,"Leadership, Project Management, SQL, Java",2024-09-11,https://fakejobsite.com/job/111,Immediate,"Arabic, English, French",1171,Remote
Marketing Manager,Rogers-Fowler,Bac+2,Entre 5 et 10 ans,Alternance,Le Kef,"Data Analysis, Communication, Python, Leadership, Machine Learning",2024-06-08,https://fakejobsite.com/job/112,In 3 months,"Arabic, English",1157,On-site
Teacher,"Levine, Mendoza and Berry",Autres,Débutant < 2 ans et plus,Unspecified,Sfax,"Project Management, Communication",2024-06-07,https://fakejobsite.com/job/113,In 1 month,"English, Arabic",1532,Remote
Project Manager,Reed-Jenkins,Bac+5,Expérience entre 5 ans et 10 ans,CDD,Monastir,"Project Management, SQL, Java, Communication",2026-07-08,https://fakejobsite.com/job/114,In 1 month,"English, French, Arabic",1424,On-site
Software Engineer,Miller PLC,Bac+4,Expérience entre 2 ans et 5 ans,Unspecified,Nabeul,"Python, Java",2025-02-17,https://fakejobsite.com/job/115,In 1 month,"French, English, Arabic",1067,Remote
Data Scientist,Ortiz Ltd,Qualification avant bac,"Etudiant, jeune diplômé et plus",Intérim,Sidi Bouzid,"Java, Project Management, SQL, Machine Learning, Leadership",2025-06-22,https://fakejobsite.com/job/116,Immediate,French,1557,Hybrid
Software Engineer,"Harris, Dixon and Reed",Bac+5,Entre 1 et 2 ans,Indépendant-Freelance,Médenine,"Leadership, Project Management, Java, Communication, Python",2024-09-20,https://fakejobsite.com/job/117,In 3 months,"English, Arabic, French",1191,Hybrid
Nurse,Holt Ltd,Bac+2,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Statutaire,Tataouine,"SQL, Java",2025-10-08,https://fakejobsite.com/job/118,Immediate,English,839,Hybrid
Project Manager,Scott PLC,Formations professionnelles,Débutant < 2 ans et plus,Stage-PFE,Ariana,"Leadership, Python, Machine Learning",2025-03-25,https://fakejobsite.com/job/119,Immediate,"French, Arabic, English",881,Hybrid
Data Scientist,Murphy Inc,Bac+3,Expérience > 10 ans,CDI,International,"Java, Project Management, Leadership",2024-08-21,https://fakejobsite.com/job/120,In 1 month,"Arabic, English",2288,On-site
Data Scientist,Cowan-Jones,Bac+5,Débutant < 2 ans et plus,CDI,Nabeul,"Communication, SQL, Project Management, Machine Learning, Leadership",2025-11-07,https://fakejobsite.com/job/121,In 3 months,French,1022,Remote
Accountant,Townsend-Thomas,Formations professionnelles,Expérience > 10 ans,Stage,TRIPOLI,"Data Analysis, Communication, Project Management, SQL, Leadership",2024-06-04,https://fakejobsite.com/job/122,In 1 month,"French, English",1658,Hybrid
